DB Channel,SKU Code,DATE,Promo
All,31,2018-01-01,14
All,32,2018-01-01,14
All,8,2018-01-01,14
All,3,2018-01-01,14
All,20,2018-01-01,14
All,21,2018-01-01,14
All,22,2018-01-01,14
All,23,2018-01-01,14
All,24,2018-01-01,14
All,25,2018-01-01,14
All,26,2018-01-01,14
All,34,2018-01-01,14
All,40,2018-01-01,14
All,41,2018-01-01,14
All,3,2018-01-01,14
All,11,2018-01-01,15
All,12,2018-01-01,15
All,13,2018-01-01,15
2 only,13,2018-01-01,14
All,14,2018-01-01,15
All,15,2018-01-01,15
All,16,2018-01-01,15
All,17,2018-01-01,15
All,33,2018-01-01,15
All,42,2018-01-01,14
All,27,2018-01-01,4
All,28,2018-01-01,4
All,29,2018-01-01,4
All,30,2018-01-01,4
All,35,2018-01-01,4
All,9,2018-01-01,20
All,44,2018-01-01,20
All,46,2018-01-01,20
All,47,2018-01-01,20
1&0 only,18,2018-01-01,18
1&0 only,37,2018-01-01,18
1&0 only,36,2018-01-01,18
All,31,2018-02-01,14
All,32,2018-02-01,14
All,8,2018-02-01,14
All,3,2018-02-01,14
All,20,2018-02-01,14
All,21,2018-02-01,14
All,22,2018-02-01,14
All,23,2018-02-01,14
All,24,2018-02-01,14
All,25,2018-02-01,14
All,26,2018-02-01,14
All,34,2018-02-01,14
All,40,2018-02-01,14
All,41,2018-02-01,14
All,3,2018-02-01,14
All,11,2018-02-01,15
All,12,2018-02-01,15
All,13,2018-02-01,15
2 only,13,2018-02-01,14
All,14,2018-02-01,15
All,15,2018-02-01,15
All,16,2018-02-01,15
All,17,2018-02-01,15
All,33,2018-02-01,15
All,42,2018-02-01,14
All,27,2018-02-01,8
All,28,2018-02-01,8
All,29,2018-02-01,8
All,30,2018-02-01,8
All,35,2018-02-01,8
All,9,2018-02-01,11
All,44,2018-02-01,11
All,46,2018-02-01,11
All,47,2018-02-01,11
1&0 only,18,2018-02-01,18
1&0 only,37,2018-02-01,18
1&0 only,36,2018-02-01,18
All,31,2018-03-01,14
All,32,2018-03-01,14
All,8,2018-03-01,14
All,3,2018-03-01,12
All,20,2018-03-01,12
All,21,2018-03-01,12
All,22,2018-03-01,12
All,23,2018-03-01,12
All,24,2018-03-01,12
All,25,2018-03-01,12
All,26,2018-03-01,12
All,34,2018-03-01,12
All,40,2018-03-01,12
All,41,2018-03-01,12
All,3,2018-03-01,12
All,11,2018-03-01,15
All,12,2018-03-01,15
All,13,2018-03-01,15
2 only,13,2018-03-01,14
All,14,2018-03-01,15
All,15,2018-03-01,15
All,16,2018-03-01,15
All,17,2018-03-01,15
All,33,2018-03-01,15
All,42,2018-03-01,14
All,27,2018-03-01,8
All,28,2018-03-01,8
All,29,2018-03-01,8
All,30,2018-03-01,8
All,35,2018-03-01,8
All,9,2018-03-01,20
All,44,2018-03-01,20
All,46,2018-03-01,20
All,47,2018-03-01,20
1&0 only,18,2018-03-01,18
1&0 only,37,2018-03-01,18
1&0 only,36,2018-03-01,18
All,31,2018-04-01,14
All,32,2018-04-01,14
All,8,2018-04-01,14
All,3,2018-04-01,12
All,20,2018-04-01,12
All,21,2018-04-01,12
All,22,2018-04-01,12
All,23,2018-04-01,12
All,24,2018-04-01,12
All,25,2018-04-01,12
All,26,2018-04-01,12
All,34,2018-04-01,12
All,40,2018-04-01,12
All,41,2018-04-01,12
All,3,2018-04-01,12
All,11,2018-04-01,15
All,12,2018-04-01,15
All,13,2018-04-01,15
2 only,13,2018-04-01,14
All,14,2018-04-01,15
All,15,2018-04-01,15
All,16,2018-04-01,15
All,17,2018-04-01,15
All,33,2018-04-01,15
All,42,2018-04-01,14
All,27,2018-04-01,4
All,28,2018-04-01,4
All,29,2018-04-01,4
All,30,2018-04-01,4
All,35,2018-04-01,4
All,9,2018-04-01,20
All,44,2018-04-01,20
All,46,2018-04-01,20
All,47,2018-04-01,20
1&0 only,18,2018-04-01,18
1&0 only,37,2018-04-01,18
1&0 only,36,2018-04-01,18
All,31,2018-05-01,14
All,32,2018-05-01,14
All,8,2018-05-01,14
All,3,2018-05-01,12
All,20,2018-05-01,12
All,21,2018-05-01,12
All,22,2018-05-01,12
All,23,2018-05-01,12
All,24,2018-05-01,12
All,25,2018-05-01,12
All,26,2018-05-01,12
All,34,2018-05-01,12
All,40,2018-05-01,12
All,41,2018-05-01,12
All,3,2018-05-01,12
All,11,2018-05-01,15
All,12,2018-05-01,15
All,13,2018-05-01,15
2 only,13,2018-05-01,14
All,14,2018-05-01,15
All,15,2018-05-01,15
All,16,2018-05-01,15
All,17,2018-05-01,15
All,33,2018-05-01,15
All,42,2018-05-01,14
All,27,2018-05-01,8
All,28,2018-05-01,8
All,29,2018-05-01,8
All,30,2018-05-01,8
All,35,2018-05-01,8
All,9,2018-05-01,11
All,44,2018-05-01,11
All,46,2018-05-01,11
All,47,2018-05-01,11
1&0 only,18,2018-05-01,18
1&0 only,37,2018-05-01,18
1&0 only,36,2018-05-01,18
All,31,2018-06-01,14
All,32,2018-06-01,14
All,8,2018-06-01,14
All,3,2018-06-01,12
All,20,2018-06-01,12
All,21,2018-06-01,12
All,22,2018-06-01,12
All,23,2018-06-01,12
All,24,2018-06-01,12
All,25,2018-06-01,12
All,26,2018-06-01,12
All,34,2018-06-01,12
All,40,2018-06-01,12
All,41,2018-06-01,12
All,3,2018-06-01,12
All,11,2018-06-01,15
All,12,2018-06-01,15
All,13,2018-06-01,15
2 only,13,2018-06-01,14
All,14,2018-06-01,15
All,15,2018-06-01,15
All,16,2018-06-01,15
All,17,2018-06-01,15
All,33,2018-06-01,15
All,42,2018-06-01,14
All,27,2018-06-01,8
All,28,2018-06-01,8
All,29,2018-06-01,8
All,30,2018-06-01,8
All,35,2018-06-01,8
All,9,2018-06-01,20
All,44,2018-06-01,20
All,46,2018-06-01,20
All,47,2018-06-01,20
1&0 only,18,2018-06-01,18
1&0 only,37,2018-06-01,18
1&0 only,36,2018-06-01,18
All,31,2018-07-01,14
All,32,2018-07-01,14
All,8,2018-07-01,14
All,3,2018-07-01,12
All,20,2018-07-01,12
All,21,2018-07-01,12
All,22,2018-07-01,12
All,23,2018-07-01,12
All,24,2018-07-01,12
All,25,2018-07-01,12
All,26,2018-07-01,12
All,34,2018-07-01,12
All,40,2018-07-01,12
All,41,2018-07-01,12
All,3,2018-07-01,12
All,11,2018-07-01,15
All,12,2018-07-01,15
All,13,2018-07-01,15
2 only,13,2018-07-01,14
All,14,2018-07-01,15
All,15,2018-07-01,15
All,16,2018-07-01,15
All,17,2018-07-01,15
All,33,2018-07-01,15
All,42,2018-07-01,14
All,27,2018-07-01,7
All,28,2018-07-01,7
All,29,2018-07-01,7
All,30,2018-07-01,7
All,35,2018-07-01,7
All,9,2018-07-01,20
All,44,2018-07-01,20
All,46,2018-07-01,20
All,47,2018-07-01,20
1&0 only,18,2018-07-01,18
1&0 only,37,2018-07-01,18
1&0 only,36,2018-07-01,18
All,31,2018-08-01,14
All,32,2018-08-01,14
All,8,2018-08-01,14
All,3,2018-08-01,12
All,20,2018-08-01,12
All,21,2018-08-01,12
All,22,2018-08-01,12
All,23,2018-08-01,12
All,24,2018-08-01,12
All,25,2018-08-01,12
All,26,2018-08-01,12
All,34,2018-08-01,12
All,40,2018-08-01,12
All,41,2018-08-01,12
All,3,2018-08-01,12
All,11,2018-08-01,15
All,12,2018-08-01,15
All,13,2018-08-01,15
2 only,13,2018-08-01,14
All,14,2018-08-01,15
All,15,2018-08-01,15
All,16,2018-08-01,15
All,17,2018-08-01,15
All,33,2018-08-01,15
All,42,2018-08-01,14
All,27,2018-08-01,4
All,28,2018-08-01,4
All,29,2018-08-01,4
All,30,2018-08-01,4
All,35,2018-08-01,4
All,9,2018-08-01,11
All,44,2018-08-01,11
All,46,2018-08-01,11
All,47,2018-08-01,11
1&0 only,18,2018-08-01,18
1&0 only,37,2018-08-01,18
1&0 only,36,2018-08-01,18
All,31,2018-09-01,14
All,32,2018-09-01,14
All,8,2018-09-01,14
All,3,2018-09-01,12
All,20,2018-09-01,12
All,21,2018-09-01,12
All,22,2018-09-01,12
All,23,2018-09-01,12
All,24,2018-09-01,12
All,25,2018-09-01,12
All,26,2018-09-01,12
All,34,2018-09-01,12
All,40,2018-09-01,12
All,41,2018-09-01,12
All,3,2018-09-01,12
All,11,2018-09-01,15
All,12,2018-09-01,15
All,13,2018-09-01,15
2 only,13,2018-09-01,14
All,14,2018-09-01,15
All,15,2018-09-01,15
All,16,2018-09-01,15
All,17,2018-09-01,15
All,33,2018-09-01,15
All,42,2018-09-01,14
All,27,2018-09-01,7
All,28,2018-09-01,7
All,29,2018-09-01,7
All,30,2018-09-01,7
All,35,2018-09-01,7
All,9,2018-09-01,20
All,44,2018-09-01,20
All,46,2018-09-01,20
All,47,2018-09-01,20
1&0 only,18,2018-09-01,18
1&0 only,37,2018-09-01,18
1&0 only,36,2018-09-01,18
All,31,2018-10-01,14
All,32,2018-10-01,14
All,8,2018-10-01,10
All,3,2018-10-01,12
All,20,2018-10-01,12
All,21,2018-10-01,12
All,22,2018-10-01,12
All,23,2018-10-01,12
All,24,2018-10-01,12
All,25,2018-10-01,12
All,26,2018-10-01,12
All,34,2018-10-01,12
All,40,2018-10-01,12
All,41,2018-10-01,12
All,3,2018-10-01,12
All,11,2018-10-01,15
All,12,2018-10-01,15
All,13,2018-10-01,15
2 only,13,2018-10-01,14
All,14,2018-10-01,15
All,15,2018-10-01,15
All,16,2018-10-01,15
All,17,2018-10-01,15
All,33,2018-10-01,15
All,42,2018-10-01,14
All,27,2018-10-01,4
All,28,2018-10-01,4
All,29,2018-10-01,4
All,30,2018-10-01,4
All,35,2018-10-01,4
All,9,2018-10-01,11
All,44,2018-10-01,11
All,46,2018-10-01,11
All,47,2018-10-01,11
1&0 only,18,2018-10-01,18
1&0 only,37,2018-10-01,18
1&0 only,36,2018-10-01,18
All,31,2018-11-01,14
All,32,2018-11-01,14
All,8,2018-11-01,14
All,3,2018-11-01,12
All,20,2018-11-01,12
All,21,2018-11-01,12
All,22,2018-11-01,12
All,23,2018-11-01,12
All,24,2018-11-01,12
All,25,2018-11-01,12
All,26,2018-11-01,12
All,34,2018-11-01,12
All,40,2018-11-01,12
All,41,2018-11-01,12
All,3,2018-11-01,12
All,11,2018-11-01,15
All,12,2018-11-01,15
All,13,2018-11-01,15
2 only,13,2018-11-01,14
All,14,2018-11-01,15
All,15,2018-11-01,15
All,16,2018-11-01,15
All,17,2018-11-01,15
All,33,2018-11-01,15
All,42,2018-11-01,14
All,27,2018-11-01,7
All,28,2018-11-01,7
All,29,2018-11-01,7
All,30,2018-11-01,7
All,35,2018-11-01,7
All,9,2018-11-01,11
All,44,2018-11-01,11
All,46,2018-11-01,11
All,47,2018-11-01,11
1&0 only,18,2018-11-01,18
1&0 only,37,2018-11-01,18
1&0 only,36,2018-11-01,18
All,31,2018-12-01,14
All,32,2018-12-01,14
All,8,2018-12-01,14
All,3,2018-12-01,12
All,20,2018-12-01,12
All,21,2018-12-01,12
All,22,2018-12-01,12
All,23,2018-12-01,12
All,24,2018-12-01,12
All,25,2018-12-01,12
All,26,2018-12-01,12
All,34,2018-12-01,12
All,40,2018-12-01,12
All,41,2018-12-01,12
All,3,2018-12-01,12
All,11,2018-12-01,15
All,12,2018-12-01,15
All,13,2018-12-01,15
2 only,13,2018-12-01,14
All,14,2018-12-01,15
All,15,2018-12-01,15
All,16,2018-12-01,15
All,17,2018-12-01,15
All,33,2018-12-01,15
All,42,2018-12-01,14
All,27,2018-12-01,4
All,28,2018-12-01,4
All,29,2018-12-01,4
All,30,2018-12-01,4
All,35,2018-12-01,4
All,9,2018-12-01,11
All,44,2018-12-01,11
All,46,2018-12-01,11
All,47,2018-12-01,11
1&0 only,18,2018-12-01,18
1&0 only,37,2018-12-01,18
1&0 only,36,2018-12-01,18
All,31,2019-01-01,14
All,32,2019-01-01,14
All,8,2019-01-01,9
All,3,2019-01-01,12
All,20,2019-01-01,12
All,21,2019-01-01,12
All,22,2019-01-01,12
All,23,2019-01-01,12
All,24,2019-01-01,12
All,25,2019-01-01,12
All,26,2019-01-01,12
All,34,2019-01-01,12
All,40,2019-01-01,12
All,41,2019-01-01,12
All,3,2019-01-01,12
All,11,2019-01-01,15
All,12,2019-01-01,15
All,13,2019-01-01,15
2 only,13,2019-01-01,14
All,14,2019-01-01,15
All,15,2019-01-01,15
All,16,2019-01-01,15
All,17,2019-01-01,15
All,33,2019-01-01,15
All,42,2019-01-01,14
All,27,2019-01-01,4
All,28,2019-01-01,4
All,29,2019-01-01,4
All,30,2019-01-01,4
All,35,2019-01-01,4
All,9,2019-01-01,11
All,44,2019-01-01,11
All,46,2019-01-01,11
All,47,2019-01-01,11
1&0 only,18,2019-01-01,18
1&0 only,37,2019-01-01,18
1&0 only,36,2019-01-01,18
All,31,2019-02-01,14
All,32,2019-02-01,14
All,8,2019-02-01,14
All,3,2019-02-01,12
All,20,2019-02-01,12
All,21,2019-02-01,12
All,22,2019-02-01,12
All,23,2019-02-01,12
All,24,2019-02-01,12
All,25,2019-02-01,12
All,26,2019-02-01,12
All,34,2019-02-01,12
All,40,2019-02-01,12
All,41,2019-02-01,12
All,3,2019-02-01,12
All,11,2019-02-01,15
All,12,2019-02-01,15
All,13,2019-02-01,15
2 only,13,2019-02-01,14
All,14,2019-02-01,15
All,15,2019-02-01,15
All,16,2019-02-01,15
All,17,2019-02-01,15
All,33,2019-02-01,15
All,42,2019-02-01,14
All,27,2019-02-01,7
All,28,2019-02-01,7
All,29,2019-02-01,7
All,30,2019-02-01,7
All,35,2019-02-01,7
All,9,2019-02-01,11
All,44,2019-02-01,11
All,46,2019-02-01,11
All,47,2019-02-01,11
1&0 only,18,2019-02-01,18
1&0 only,37,2019-02-01,18
1&0 only,36,2019-02-01,18
All,31,2019-03-01,14
All,32,2019-03-01,14
All,8,2019-03-01,14
All,3,2019-03-01,12
All,20,2019-03-01,12
All,21,2019-03-01,12
All,22,2019-03-01,12
All,23,2019-03-01,12
All,24,2019-03-01,12
All,25,2019-03-01,12
All,26,2019-03-01,12
All,34,2019-03-01,12
All,40,2019-03-01,12
All,41,2019-03-01,12
All,3,2019-03-01,12
All,11,2019-03-01,15
All,12,2019-03-01,15
All,13,2019-03-01,15
2 only,13,2019-03-01,14
All,14,2019-03-01,15
All,15,2019-03-01,15
All,16,2019-03-01,15
All,17,2019-03-01,15
All,33,2019-03-01,15
All,42,2019-03-01,14
All,27,2019-03-01,4
All,28,2019-03-01,4
All,29,2019-03-01,4
All,30,2019-03-01,4
All,35,2019-03-01,4
All,9,2019-03-01,11
All,44,2019-03-01,11
All,46,2019-03-01,11
All,47,2019-03-01,11
1&0 only,18,2019-03-01,18
1&0 only,37,2019-03-01,18
1&0 only,36,2019-03-01,18
All,31,2019-04-01,14
All,32,2019-04-01,14
All,8,2019-04-01,14
All,3,2019-04-01,12
All,20,2019-04-01,12
All,21,2019-04-01,12
All,22,2019-04-01,12
All,23,2019-04-01,12
All,24,2019-04-01,12
All,25,2019-04-01,12
All,26,2019-04-01,12
All,34,2019-04-01,12
All,40,2019-04-01,12
All,41,2019-04-01,12
All,3,2019-04-01,12
All,11,2019-04-01,15
All,12,2019-04-01,15
All,13,2019-04-01,15
2 only,13,2019-04-01,14
All,14,2019-04-01,15
All,15,2019-04-01,15
All,16,2019-04-01,15
All,17,2019-04-01,15
All,33,2019-04-01,15
All,42,2019-04-01,14
All,27,2019-04-01,7
All,28,2019-04-01,7
All,29,2019-04-01,7
All,30,2019-04-01,7
All,35,2019-04-01,7
All,9,2019-04-01,11
All,44,2019-04-01,11
All,46,2019-04-01,11
All,47,2019-04-01,11
1&0 only,18,2019-04-01,18
1&0 only,37,2019-04-01,18
1&0 only,36,2019-04-01,18
All,31,2019-05-01,14
All,32,2019-05-01,14
All,8,2019-05-01,14
All,3,2019-05-01,12
All,20,2019-05-01,12
All,21,2019-05-01,12
All,22,2019-05-01,12
All,23,2019-05-01,12
All,24,2019-05-01,12
All,25,2019-05-01,12
All,26,2019-05-01,12
All,34,2019-05-01,12
All,40,2019-05-01,12
All,41,2019-05-01,12
All,3,2019-05-01,12
All,11,2019-05-01,15
All,12,2019-05-01,15
All,13,2019-05-01,15
2 only,13,2019-05-01,14
All,14,2019-05-01,15
All,15,2019-05-01,15
All,16,2019-05-01,15
All,17,2019-05-01,15
All,33,2019-05-01,15
All,42,2019-05-01,14
All,27,2019-05-01,4
All,28,2019-05-01,4
All,29,2019-05-01,4
All,30,2019-05-01,4
All,35,2019-05-01,4
All,9,2019-05-01,20
All,44,2019-05-01,20
All,46,2019-05-01,20
All,47,2019-05-01,20
1&0 only,18,2019-05-01,18
1&0 only,37,2019-05-01,18
1&0 only,36,2019-05-01,18
All,31,2019-06-01,14
All,32,2019-06-01,14
All,8,2019-06-01,14
All,3,2019-06-01,12
All,20,2019-06-01,12
All,21,2019-06-01,12
All,22,2019-06-01,12
All,23,2019-06-01,12
All,24,2019-06-01,12
All,25,2019-06-01,12
All,26,2019-06-01,12
All,34,2019-06-01,12
All,40,2019-06-01,12
All,41,2019-06-01,12
All,3,2019-06-01,12
All,11,2019-06-01,15
All,12,2019-06-01,15
All,13,2019-06-01,15
2 only,13,2019-06-01,14
All,14,2019-06-01,15
All,15,2019-06-01,15
All,16,2019-06-01,15
All,17,2019-06-01,15
All,33,2019-06-01,15
All,42,2019-06-01,16
All,27,2019-06-01,4
All,28,2019-06-01,4
All,29,2019-06-01,4
All,30,2019-06-01,4
All,35,2019-06-01,4
All,9,2019-06-01,20
All,44,2019-06-01,20
All,46,2019-06-01,20
All,47,2019-06-01,20
1&0 only,18,2019-06-01,18
1&0 only,37,2019-06-01,18
1&0 only,36,2019-06-01,18
All,31,2019-07-01,14
All,32,2019-07-01,14
All,8,2019-07-01,14
All,3,2019-07-01,12
All,20,2019-07-01,12
All,21,2019-07-01,12
All,22,2019-07-01,12
All,23,2019-07-01,12
All,24,2019-07-01,12
All,25,2019-07-01,12
All,26,2019-07-01,12
All,34,2019-07-01,12
All,40,2019-07-01,12
All,41,2019-07-01,12
All,3,2019-07-01,12
All,11,2019-07-01,15
All,12,2019-07-01,15
All,13,2019-07-01,15
2 only,13,2019-07-01,14
All,14,2019-07-01,15
All,15,2019-07-01,15
All,16,2019-07-01,15
All,17,2019-07-01,15
All,33,2019-07-01,15
All,42,2019-07-01,15
All,27,2019-07-01,5
All,28,2019-07-01,5
All,29,2019-07-01,5
All,30,2019-07-01,5
All,35,2019-07-01,5
All,9,2019-07-01,20
All,44,2019-07-01,20
All,46,2019-07-01,20
All,47,2019-07-01,20
1&0 only,18,2019-07-01,18
1&0 only,37,2019-07-01,18
1&0 only,36,2019-07-01,18
All,31,2019-08-01,14
All,32,2019-08-01,14
All,8,2019-08-01,9
All,3,2019-08-01,12
All,20,2019-08-01,12
All,21,2019-08-01,12
All,22,2019-08-01,12
All,23,2019-08-01,12
All,24,2019-08-01,12
All,25,2019-08-01,12
All,26,2019-08-01,12
All,34,2019-08-01,12
All,40,2019-08-01,12
All,41,2019-08-01,12
All,3,2019-08-01,12
All,11,2019-08-01,15
All,12,2019-08-01,15
All,13,2019-08-01,15
2 only,13,2019-08-01,3
All,14,2019-08-01,15
All,15,2019-08-01,15
All,16,2019-08-01,15
All,17,2019-08-01,15
All,33,2019-08-01,15
All,42,2019-08-01,15
All,27,2019-08-01,5
All,28,2019-08-01,5
All,29,2019-08-01,5
All,30,2019-08-01,5
All,35,2019-08-01,5
All,9,2019-08-01,20
All,44,2019-08-01,20
All,46,2019-08-01,20
All,47,2019-08-01,20
1&0 only,18,2019-08-01,18
1&0 only,37,2019-08-01,18
1&0 only,36,2019-08-01,18
All,31,2019-09-01,14
All,32,2019-09-01,14
All,8,2019-09-01,14
All,3,2019-09-01,12
All,20,2019-09-01,12
All,21,2019-09-01,12
All,22,2019-09-01,12
All,23,2019-09-01,12
All,24,2019-09-01,12
All,25,2019-09-01,12
All,26,2019-09-01,12
All,34,2019-09-01,12
All,40,2019-09-01,13
All,41,2019-09-01,13
All,3,2019-09-01,12
All,11,2019-09-01,15
All,12,2019-09-01,15
All,13,2019-09-01,15
2 only,13,2019-09-01,3
All,14,2019-09-01,15
All,15,2019-09-01,15
All,16,2019-09-01,15
All,17,2019-09-01,15
All,33,2019-09-01,15
All,42,2019-09-01,15
All,27,2019-09-01,5
All,28,2019-09-01,5
All,29,2019-09-01,5
All,30,2019-09-01,5
All,35,2019-09-01,5
All,9,2019-09-01,2
All,44,2019-09-01,2
All,46,2019-09-01,2
All,47,2019-09-01,2
1&0 only,18,2019-09-01,18
1&0 only,37,2019-09-01,18
1&0 only,36,2019-09-01,18
All,31,2019-10-01,14
All,32,2019-10-01,14
All,8,2019-10-01,17
All,3,2019-10-01,12
All,20,2019-10-01,12
All,21,2019-10-01,12
All,22,2019-10-01,12
All,23,2019-10-01,12
All,24,2019-10-01,12
All,25,2019-10-01,12
All,26,2019-10-01,12
All,34,2019-10-01,12
All,40,2019-10-01,12
All,41,2019-10-01,12
All,3,2019-10-01,12
All,11,2019-10-01,15
All,12,2019-10-01,15
All,13,2019-10-01,15
2 only,13,2019-10-01,14
All,14,2019-10-01,15
All,15,2019-10-01,15
All,16,2019-10-01,15
All,17,2019-10-01,15
All,33,2019-10-01,15
All,42,2019-10-01,15
All,27,2019-10-01,6
All,28,2019-10-01,6
All,29,2019-10-01,6
All,30,2019-10-01,6
All,35,2019-10-01,6
All,9,2019-10-01,19
All,44,2019-10-01,19
All,46,2019-10-01,19
All,47,2019-10-01,19
1&0 only,18,2019-10-01,18
1&0 only,37,2019-10-01,18
1&0 only,36,2019-10-01,18
All,31,2019-11-01,14
All,32,2019-11-01,14
All,8,2019-11-01,17
All,3,2019-11-01,12
All,20,2019-11-01,12
All,21,2019-11-01,12
All,22,2019-11-01,12
All,23,2019-11-01,12
All,24,2019-11-01,12
All,25,2019-11-01,12
All,26,2019-11-01,12
All,34,2019-11-01,12
All,40,2019-11-01,12
All,41,2019-11-01,12
All,3,2019-11-01,12
All,11,2019-11-01,15
All,12,2019-11-01,15
All,13,2019-11-01,15
2 only,13,2019-11-01,1
All,14,2019-11-01,15
All,15,2019-11-01,15
All,16,2019-11-01,15
All,17,2019-11-01,15
All,33,2019-11-01,15
All,42,2019-11-01,15
All,27,2019-11-01,6
All,28,2019-11-01,6
All,29,2019-11-01,6
All,30,2019-11-01,6
All,35,2019-11-01,6
All,9,2019-11-01,19
All,44,2019-11-01,19
All,46,2019-11-01,19
All,47,2019-11-01,19
1&0 only,18,2019-11-01,18
1&0 only,37,2019-11-01,18
1&0 only,36,2019-11-01,18
All,31,2019-12-01,14
All,32,2019-12-01,14
All,8,2019-12-01,17
All,3,2019-12-01,12
All,20,2019-12-01,12
All,21,2019-12-01,12
All,22,2019-12-01,12
All,23,2019-12-01,12
All,24,2019-12-01,12
All,25,2019-12-01,12
All,26,2019-12-01,12
All,34,2019-12-01,12
All,40,2019-12-01,12
All,41,2019-12-01,12
All,3,2019-12-01,12
All,11,2019-12-01,15
All,12,2019-12-01,15
All,13,2019-12-01,15
2 only,13,2019-12-01,1
All,14,2019-12-01,15
All,15,2019-12-01,15
All,16,2019-12-01,15
All,17,2019-12-01,15
All,33,2019-12-01,15
All,42,2019-12-01,15
All,27,2019-12-01,6
All,28,2019-12-01,6
All,29,2019-12-01,6
All,30,2019-12-01,6
All,35,2019-12-01,6
All,9,2019-12-01,19
All,44,2019-12-01,19
All,46,2019-12-01,19
All,47,2019-12-01,19
1&0 only,18,2019-12-01,18
1&0 only,37,2019-12-01,18
1&0 only,36,2019-12-01,18
All,31,2020-01-01,14
All,32,2020-01-01,14
All,8,2020-01-01,17
All,3,2020-01-01,12
All,20,2020-01-01,12
All,21,2020-01-01,12
All,22,2020-01-01,12
All,23,2020-01-01,12
All,24,2020-01-01,12
All,25,2020-01-01,12
All,26,2020-01-01,12
All,34,2020-01-01,12
All,40,2020-01-01,12
All,41,2020-01-01,12
All,3,2020-01-01,12
All,11,2020-01-01,15
All,12,2020-01-01,15
All,13,2020-01-01,15
2 only,13,2020-01-01,0
All,14,2020-01-01,15
All,15,2020-01-01,15
All,16,2020-01-01,15
All,17,2020-01-01,15
All,33,2020-01-01,15
All,42,2020-01-01,15
All,27,2020-01-01,6
All,28,2020-01-01,6
All,29,2020-01-01,6
All,30,2020-01-01,6
All,35,2020-01-01,6
All,9,2020-01-01,19
All,44,2020-01-01,19
All,46,2020-01-01,19
All,47,2020-01-01,19
1&0 only,18,2020-01-01,18
1&0 only,37,2020-01-01,18
1&0 only,36,2020-01-01,18
All,31,2020-02-01,14
All,32,2020-02-01,14
All,8,2020-02-01,17
All,3,2020-02-01,12
All,20,2020-02-01,12
All,21,2020-02-01,12
All,22,2020-02-01,12
All,23,2020-02-01,12
All,24,2020-02-01,12
All,25,2020-02-01,12
All,26,2020-02-01,12
All,34,2020-02-01,12
All,40,2020-02-01,12
All,41,2020-02-01,12
All,3,2020-02-01,12
All,11,2020-02-01,15
All,12,2020-02-01,15
All,13,2020-02-01,15
2 only,13,2020-02-01,0
All,14,2020-02-01,15
All,15,2020-02-01,15
All,16,2020-02-01,15
All,17,2020-02-01,15
All,33,2020-02-01,15
All,42,2020-02-01,15
All,27,2020-02-01,6
All,28,2020-02-01,6
All,29,2020-02-01,6
All,30,2020-02-01,6
All,35,2020-02-01,6
All,9,2020-02-01,19
All,44,2020-02-01,19
All,46,2020-02-01,19
All,47,2020-02-01,19
1&0 only,18,2020-02-01,18
1&0 only,37,2020-02-01,18
1&0 only,36,2020-02-01,18
